Name,Actors,Score,About,Genre,Crew,Image,Voted,Type
 سکوت کوهستان,"[' فرهاد قائمیان', ' شراره یوسفی نیا', ' خسرو دستگیر', ' هوشنگ منصورخاکی', ' سعید کریمی']",0.89,رشید، مورد ستم ارباب ده قرار می گیرد و مجبور می شود ده را ترک کند. او پس از ده سال برمی گردد، ارباب ده را می کشد و....,"['اکشن', 'هیجان انگیز']","[' یدالله نوعصری', ' حجت الله سیفی', ' شریف لطفی']",https://static.cdn.asset.filimo.com/flmt/mov_17081_423-m.jpg,623,فیلم
 تا غروب,"[' سعید پورصمیمی', ' مرتضی احمدی']",0.9,به مردی غریبه، در روستا، اهالی اجازه می دهند که قطعه زمینی را برای امرار معاش خویش انتخاب کند. فرصتی که او دارد از یک صبح تا غروب است. پیش از طلوع آفتاب ...,"['خانوادگی', 'اجتماعی']","[' جعفر والی', ' جعفر والی', ' فریدون ناصری', ' مهرداد فخیمی']",https://static.cdn.asset.filimo.com/flmt/mov_31714_29277-m.jpg,292,فیلم
 سایه های موازی,"[' شهاب حسینی', ' ابوالفضل پورعرب', ' سمیرا حسن پور', ' سیامک صفری', ' هوشنگ توکلی', ' حدیث فولادوند']",0.73,فیلم سایه های موازی در ژانر عاشقانه محصول سال 1394 است. این فیلم که سومین اثر اصغر نعیمی است به اقتباس از داستان کوتاهی از داستایفسکی، به نام «نازنین» ساخته شده. در خلاصه داستان این فیلم آمده است که نازنین: مهم نیست کی هستی یا چه کاره ایی... تو هر وضعیتی که باشی محبت وظیفه ته... فرهاد: نصیحت ات خوبه.فقط یه خورده کهنه س,"['خانوادگی', 'عاشقانه']","[' اصغر نعیمی', ' علی توکل نیا', ' حسن توکل نیا', ' سعید عقیقی', ' مسعود سخاوت دوست', ' روزبه رایگا']",https://static.cdn.asset.filimo.com/flmt/mov_30100_659-m.jpg,1354,فیلم
 شانتاژ,"[' بهروز محمدی', ' مریم خدارحمی', ' علیرضا رئیسی', ' افشین سنگ چاپ', ' صفر کشکولی', ' مجید شهریاری', ' ساقی زینتی']",0.6,فیلم شانتاژ، درباره مردی سرشناس و ثروتمند است که همسرش توسط یک گروه تبهکار مورد اذیت و آزار قرار می گیرد. آن گروه با هدف باج گیری و اخاذی از طریق فضای مجازی وارد زندگی این زوج شده و زندگی آنها را به مخاطره می اندازند اما …,"['خانوادگی', 'اجتماعی']","[' امیر مومنی اصل', ' کیانوش اسلامی', '  پیام نیکومنش']",https://static.cdn.asset.filimo.com/flmt/mov_21607_1-m.jpg,1490,فیلم
 باغ درون,"[' فرهاد عالی داعی', ' ستوده حیدری', ' غلامحسین رستگاری مطلق', ' بهناز علی دوستی', ' رضا یوسفی', ' آرسام تهرانچی']",0.63,فیلم باغ درون ، تحول شخصیت سامان یکی از مقامات بلندپایه، وقتی که پای او روی مین دیده می شود در حالیکه خانواده و اطرافیان از او بی خبرند …,"['خانوادگی', 'اجتماعی']","[' زاهد ملکی', ' زاهد ملکی', ' شیرمراد گودرزی', ' زاهد ملکی', ' غلامرضا اصغری']",https://static.cdn.asset.filimo.com/flmt/mov_19931_12276-m.jpg,44,فیلم
 یک فنجان چای در شهر,"[' شراره رخام', ' مارال فرجاد', ' بهزاد رحیم خانی', ' صفر کشکولی']",0.66,جوانی شهرستانی به خاطر زندگی بهتر به تهران می آید و درگیر کارهای خلاف می شود.,"['خانوادگی', 'اجتماعی']","[' مجید واشقانی', ' هاشم گرامی', ' رضا آشتیانی', ' مجید واشقانی']",https://static.cdn.asset.filimo.com/flmt/mov_194_696-m.jpg,75,فیلم
 منطقه پرواز ممنوع,"[' هادی حجازی فر', ' محمد فیلی', ' پوریا سلطان زاده', ' متین پاکزاد', ' متین کرمانی', ' علیرضا اکبری']",0.9,,"['خانوادگی', 'کودک']","[' امیر داسارگر', ' حامد بامروت نژاد', ' امیر داسارگر', ' فرید سعادتمند', ' علی رنجبر']",https://static.cdn.asset.filimo.com/flmt/mov_32039_145-m.jpg,16399,فیلم
 غلامرضا تختی,"[' ماهور الوند', ' حمیدرضا آذرنگ', ' فرهاد آئیش', ' بهنوش طباطبایی', ' آتیلا پسیانی', ' ستاره پسیانی', ' معصومه قاسمی پور', ' شیرین یزدان بخش', ' محسن تختی']",0.96,,"['خانوادگی', 'اجتماعی']","[' بهرام توکلی', ' سعید ملکان', ' بهرام توکلی', ' سعید ملکان', ' افشین عزیزی', ' حمید خضوعی ابیانه']",https://static.cdn.asset.filimo.com/flmt/mov_27943_1-m.jpg,27951,فیلم
 لونه زنبور,"[' محسن کیایی', ' پژمان جمشیدی', ' هومن برق نورد', ' بهاره کیان افشار', ' پیام احمدی نیا', ' رعنا آزادی ور', ' فرید سجادی حسینی']",0.91,فیلم کمدی لونه زنبور با بازی پژمان جمشیدی، محسن کیایی، بهاره کیان افشار، هومن برق نورد و رعنا آزادی ور ، داستان  دو پسرخاله است که دزدانی خرده پا و کوچک هستند. آنها با تحویل گرفتن یک جعبه دچار دردسر شده و درگیر جریانی بزرگ می شوند...,"['کمدی', 'خانوادگی']","[' برزو نیک نژاد', ' سعید خانی', ' روزبه رایگا', ' محسن کیایی', ' احسان بیرق دار']",https://static.cdn.asset.filimo.com/flmt/mov_14930_24790-m.jpg,36551,فیلم
 دینامیت,"[' احمد مهرانفر', ' پژمان جمشیدی', ' نازنین بیاتی', ' محسن کیایی', ' زیبا کرمعلی', ' نادر سلیمانی', ' امید روحانی']",0.91,"«دینامیت» فیلم کمدی است از لایه های گوناگون جامعه با طنز موقعیت و گفتاری که توانسته لقب پرفروش ترین فیلم سینمای ایران را از آن خود کند.دینامیت داستان آپارتمانی را روایت می کند که افراد مختلفی در آن سکونت دارند. دو طلبه، یک ساقی و دو دختر جوان در این ساختمان با تضادهای فکریشان باعث موقعیت های خنده داری می شوند.","['کمدی', 'خانوادگی']","[' سید مسعود اطیابی', ' سید ابراهیم عامریان', ' حمزه صالحی', ' شیما محمدبیگی', ' کوهیار کلاری', ' حسن ایوبی']",https://static.cdn.asset.filimo.com/flmt/mov_111423_29240-m.jpg,103682,فیلم
