Name,Actors,Score,About,Genre,Crew,Image,Voted,Type
 عطش,"[' بهرام رادان', ' فریبرز عرب نیا', ' شهرام حقیقت دوست', ' شبنم قلی خانی', ' ساغر عزیزی', ' طیب شرافتی']",0.88,,"['اکشن', 'ماجراجویی']","[' محمدحسین فرح بخش', ' عبدالله علیخانی', ' فرج الله حیدری ', ' پیمان معادی', ' کیوان جهانشاهی']",https://static.cdn.asset.filimo.com/flmt/mov_9937_959-m.jpg,761,فیلم
 یکی از میان همه,"[' سروش صحت', ' رامین راستاد', ' آزاده صمدی', ' کیانوش گرامی', ' حمیدرضا پگاه']",0.69,نیلوفر و نرگس بدون اطلاع همسرانشان مجبور به سفری ناخواسته می شوند و همسرانشان در تعقیب آنها...,"['اکشن', 'هیجان انگیز']",[' ابراهیم شیبانی'],https://static.cdn.asset.filimo.com/flmt/mov_1566_15587-m.jpg,280,فیلم
 جاده جنایت,"[' لعیا زنگنه', ' کاوه آرمیده', ' حشمت الله آرمیده']",0.76,وقتی کتایون نگرانی و اضطراب بیش از حد شوهرش – کامبیز – را می بیند، وی را نزد یک روانپزشک می فرستد و خود برای بازی در یک فیلم عازم ویلایشان در شمال می شود. در شمال کتایون که مجبور است به دلیل وضعیت نامناسب هوا در ویلا بماند...,"['اکشن', 'هیجان انگیز']","[' جهانبخش ایمانی', ' ذبیح الله رحمانی', ' آرزو محمدنژاد', ' جهانبخش ایمانی']",https://static.cdn.asset.filimo.com/flmt/mov_740_114-m.jpg,530,فیلم
 ساوالان,"[' مجید مظفری', ' محمد برسوزیان', ' فردوس کاویانی', ' خسرو دستگیر']",0.9,روستای ساوالان هرسال توسط گروهی راهزن غارت می شود. اهالی روستا گروهی را برای کمک می طلبند جوانی به نام سلام به این گروه ملحق می شود. ولی گروهی که برای کمک آمده اند باعث اتفاقات دیگری می شوند.,"['اکشن', 'ماجراجویی']","[' یدالله صمدی', ' سیفعلی سیدکوثری نژاد', ' یدالله صمدی', ' فرهاد فخرالدینی', ' حسن قلی زاده']",https://static.cdn.asset.filimo.com/flmt/mov_6037_598-m.jpg,493,فیلم
 پوزه چرمی,"[' ندا مقصودی', ' وحید جباری']",0.68,مردی برای رسیدن به اهدافش با پس انداز همسرش دست به خرید اره برقی می زند ...,"['فیلم تئاتر', 'خانوادگی']","[' محمدعلی زمانی', ' هلموت کراوزر', ' محمد مهدی صباغیان', ' رامین ارقند', ' نسیم ملکی', ' وحید صالحی', ' مسعود خرداد', ' وحید مشایخی']",https://static.cdn.asset.filimo.com/flmt/mov_2585_38171-m.jpg,182,فیلم
 همکلاس,"[' علی قربان زاده', ' رامبد شکرآبی', ' حدیث فولادوند', ' پرستو صالحی', ' غلامعلی برجسته']",0.77,,"['خانوادگی', 'اجتماعی']","[' سعید خورشیدیان', ' محسن مسافرچی', ' سعید خورشیدیان', ' غلامعلی برجسته', ' بهرام سعیدی', ' حسین ملکی']",https://static.cdn.asset.filimo.com/flmt/mov_34072_15582-m.jpg,358,فیلم
 شکلاتی,"[' شبنم مقدمی', ' ناصر هاشمی', ' محمدرضا هدایتی', ' ارژنگ امیرفضلی', ' فرزین محدث', ' علیرضا مسعودی']",0.9,فیلم شکلاتی درباره این فیلم درباره کارخانه شکلات سازی است که به پارسای ۱۳ ساله ارث می رسد و پارسا با کمک دوستان خود سعی در اداره آن دارد.,"['خانوادگی', 'کمدی']","[' سهیل موفق', ' کریم خودسیانی', ' ایرج محمدی']",https://static.cdn.asset.filimo.com/flmt/mov_26799_1-m.jpg,18330,فیلم
 دلشوره,"[' مجید مشیری', ' امیرمحمد زند', ' کوروش سلیمانی', ' معصومه میرحسینی', ' ملیکا طباخی']",0.73,,"['خانوادگی', 'اجتماعی']","[' مهرداد پوراحمد', ' کیومرث پوراحمد', ' کیومرث پوراحمد', ' ناصر کاووسی']",https://static.cdn.asset.filimo.com/flmt/mov_33760_717-m.jpg,114,فیلم
 فریاد در شب,"[' ایرج نوذری', ' حدیث فولادوند', ' نازنین کریمی', ' محمود مقامی', ' زهره حمیدی']",0.69,دختری به نام هما که در فراز و نشیب زندگی اثیر حوادثی می شود که زندگی او را از سیر طبیعی خود خارج کرده و او را دچار کابوس می کند. همزمان او در گیر و دار قتل هایی قرار می گیرد که پلیس به دنبال پیداکردن سرنخی برای سرمنشأ این قتل هاست.,"['خانوادگی', 'اجتماعی']","[' کریم رجبی', ' هایده رزم آور', ' مسعود عسگری']",https://static.cdn.asset.filimo.com/flmt/mov_11376_14525-m.jpg,224,فیلم
 افسانه های جاویدان - حکایت های مثنوی معنوی,[],0.82,"پادشاه قدرتمند و توانایی, روزی برای شكار با درباریان خود به صحرا رفت, در راه كنیزك زیبایی دید و عاشق او شد. پول فراوان داد و دخترك را از اربابش خرید, پس از مدتی كه با كنیزك بود. كنیزك بیمار شد و شاه بسیار غمناك گردید.",['تاریخی | مذهبی'],"[' رسول نجفیان', ' محمود کشاورز', ' شامل تافته']",https://static.cdn.asset.filimo.com/flmt/mov_310_817-m.jpg,237,فیلم
 دربست,"[' رضا ناجی', ' شقایق فراهانی', ' امیرحسین صدیق', ' نرگس محمدی', ' بیژن بنفشه خواه', ' محسن افشانی', ' خاطره حاتمی', ' حسین سلیمانی', ' نیما شاهرخ شاهی', ' احسان کرمی', ' امیر کربلایی زاده', ' سام درخشانی', ' صادق هاتفی']",0.78,,"['خانوادگی', 'اجتماعی']","[' علی خامه پرست', ' حسین مصطفوی', ' وحید ابراهیمی']",https://static.cdn.asset.filimo.com/flmt/mov_29071_33315-m.jpg,1107,فیلم
 دیدن این فیلم جرم است,"[' مهدی زمین پرداز', ' امیر آقایی', ' لیندا کیانی', ' حسین پاکدل', ' حمیدرضا پگاه', ' محمود پاک نیت']",0.92,,"['خانوادگی', 'اجتماعی']","[' رضا زهتابچیان', ' محمدرضا شفاه', ' رضا زهتابچیان', ' روزبه رایگا', ' امید روشن بین']",https://static.cdn.asset.filimo.com/flmt/mov_82392_391-m.jpg,70456,فیلم
 هلن,"[' رؤیا نونهالی', ' پژمان بازغی', ' امین حیایی', ' روشنک گرامی']",0.78,,"['خانوادگی', 'اجتماعی']","[' علی ثقفی', ' علی ثقفی', ' فرشاد گل سفیدی', ' امیرحسین ثقفی', ' شراره سروش', ' آریا عظیمی نژاد']",https://static.cdn.asset.filimo.com/flmt/mov_5496_1-m.jpg,4997,فیلم
 دوستان,"[' محمد صالح علا', ' یوسف مرادیان', ' مهناز افشار', ' سارا خوئینی ها', ' محمود عزیزی', ' داوود موثقی', ' جلال پیشواییان', ' مهوش وقاری']",0.83,,"['خانوادگی', 'اجتماعی']","[' علی شاه حاتمی', ' علی شاه حاتمی', ' عبدالله علیخانی', ' رضا بانکی']",https://static.cdn.asset.filimo.com/flmt/mov_3403_308-m.jpg,426,فیلم
 دختران انتظار,"[' پارسا پیروزفر', ' نیکی کریمی', ' شراره رخام', ' امید متقی', ' کامبیز دیرباز', ' فخرالدین صدیق شریف', ' هوشنگ قوانلو', ' وجیهه لقمانی', ' رحمان رضایی']",0.89,سعید مسرور دانشجوی رشته پزشکی برای پرداخت قرض خود به آقای سام ناچار می شود برای گرفتن وام، با دختر دانشجویی به نام روشنک ازدواج صوری انجام دهد تا بتواند از وام ازدواج بهره مند شود. از طرفی دیگر شراره دختر آقای سام به سعید علاقمند شده و...,"['عاشقانه', 'خانوادگی']","[' رحمان رضایی', ' رحمان رضایی', ' داریوش بابائیان', ' مجتبی رحیمی', ' محمدهادی کریمی', ' ناصر چشم آذر']",https://static.cdn.asset.filimo.com/flmt/mov_1054_592-m.jpg,1949,فیلم
 تمرین برای اجرا,"[' میکائیل شهرستانی', ' مهدی میامی', ' محمدعلی سجادی', ' محمود راسخ فر', ' محمد ساربان', ' حسین فلاح']",0.59,یک کارگردان تئاتر تصمیم می گیرد تا با جمع کردن گروهی بتواند داستان سیاوش را از روی شاهنامه فردوسی بخوانند و برای اجرا تمرین کنند…,['تاریخی | مذهبی'],"[' محمدرضا سکوت', ' محمدعلی سجادی', ' محمدعلی سجادی', ' محمدعلی سجادی']",https://static.cdn.asset.filimo.com/flmt/mov_26069_1-m.jpg,111,فیلم
 گریز,"[' فرامرز قریبیان', ' بهزاد جوانبخش', ' مهناز اسلامی', ' پروین سلیمانی', ' احمد معینی']",0.88,,"['اکشن', 'پلیسی معمایی']","[' ناصر مهدی پور', ' شعبانعلی اسلامی', ' اسفندیار شهیدی', ' شهرام امامی']",https://static.cdn.asset.filimo.com/flmt/mov_11971_299-m.jpg,1115,فیلم
 بازی در بازی,"[' طناز طباطبایی', ' مهرانه مهین ترابی', ' امیر غفارمنش', ' اکبر عبدی', ' رضا کیانیان']",0.81,,"['خانوادگی', 'کمدی']","[' کیومرث پوراحمد', ' داریوش بابائیان', ' کیومرث پوراحمد', ' اصغر عبدالهی', ' فرهاد محمودی', ' فردین خلعتبری']",https://static.cdn.asset.filimo.com/flmt/mov_34099_123-m.jpg,165,فیلم
 آدم باش، آدم,"[' امیررضا وزیری', ' طناز طباطبایی', ' فرزین محدث', ' مالک سراج', ' امیر غفارمنش', ' سولماز حصاری', ' سینا حسنی']",0.75,,"['خانوادگی', 'اجتماعی']","[' کیومرث پوراحمد', ' کیومرث پوراحمد', ' اصغر عبداللهی', ' داریوش بابائیان', ' فردین خلعتبری']",https://static.cdn.asset.filimo.com/flmt/mov_34055_319-m.jpg,124,فیلم
 رنجر,"[' جمشید هاشم پور', ' جمشید شاه محمدی', ' فخرالدین صدیق شریف', ' آرش تاج تهرانی', ' یوسف مرادیان', ' محمود مقامی']",0.93,,"['اکشن', 'جنگی']","[' احمد مرادپور', ' محمدرضا تخت کشیان', ' بهزاد بهزادپور', ' سعید انصاری', ' محمدتقی پاکسیما']",https://static.cdn.asset.filimo.com/flmt/mov_5946_831-m.jpg,5664,فیلم
 حماسه قهرمانان,"[' ابوالفضل پورعرب', ' حسن جوهرچی', ' لیلا بوشهری', ' مهدی فقیه', ' حبیب دهقان نسب']",0.87,,"['اکشن', 'هیجان انگیز']","[' جمشید حیدری', ' جمشید حیدری', ' منوچهر زبردست', ' داریوش بابائیان', ' علی اکبر مزینانی', ' اسماعیل نامی', ' فریبرز لاچینی']",https://static.cdn.asset.filimo.com/flmt/mov_11975_428-m.jpg,467,فیلم
 مکس,"[' فرهاد آئیش', ' گوهر خیراندیش', ' رامبد جوان', ' محمدرضا شریفی نیا', ' پگاه آهنگرانی', ' سیروس ابراهیم زاده', ' امیر جعفری', ' نیما شاهرخ شاهی']",0.88,وزارت ارشاد قصد دارد از نخبگان ایرانی مقیم خارج دعوت کند تا در یک سمینار فرهنگی به ایران بیایند و در برنامه های فرهنگی برای ایرانیان سخنرانی و یا برنامه اجرا کنند. یکی از این دعوتنامه ها قرار است برای یک رهبر ارکستر که در آمریکا زندگی می کند فرستاده شود اما...,"['کمدی', 'خانوادگی']","[' سامان مقدم', ' مرتضی شایسته', ' تورج منصوری', ' پیمان قاسم خانی', ' امیر توسلی']",https://static.cdn.asset.filimo.com/flmt/mov_447_979-m.jpg,3428,فیلم
کاکتوس,[],0.7,برنامه کاکتوس یک هاردتاک سیاسی ، اجتماعی ، فرهنگی ، هنری و ورزشی است که  با حضور چهره ها و شخصیت های مختلف و اجرای مصطفی امامی پخش می شود..,[],[' مصطفی امامی'],https://static.cdn.asset.filimo.com/flmt/mov_9741_20037-m.jpg,595,سریال
 سرود تولد,"[' امین حیایی', ' ثریا قاسمی', ' یکتا ناصر', ' حمیده خیرآبادی', ' حسام نواب صفوی', ' لیلا اوتادی', ' بهمن مفید']",0.9,سرود تولد، داستان زندگی پسر جوانی است که تحصیلات دانشگاهی اش به پایان رسیده و به دنبال کار است. او با خانمی کارخانه دار آشنا و مسیر زندگی اش عوض می شود.,"['خانوادگی', 'اجتماعی']","[' علی قوی تن', ' منوچهر زبردست', ' علی اللهیاری', ' علی قوی تن', ' حمیدرضا صدری']",https://static.cdn.asset.filimo.com/flmt/mov_6126_1-m.jpg,2794,فیلم
 قندون جهیزیه,"[' صابر ابر', ' نگار جواهریان', ' افسانه چهره آزاد', ' مصطفی ساسانی', ' وحید نفر', ' حسن عباسی', ' حیدر زرقومی', ' اکبر عبدی']",0.89,عطا و معصومه زن و شوهری هستند که در خانه ای مستأجر بوده و موعد تخلیه منزل مسکونی شان فرار رسیده است اما عطا می خواهد هر طور که شده قرارداد را تمدید کند با آنکه با مشکل مالی مواجه است.,"['کمدی', 'خانوادگی']","[' علی ملاقلی پور', ' سعید سعدی', ' مسعود سلامی', ' علی ملاقلی پور', ' میلاد عمرانلو']",https://static.cdn.asset.filimo.com/flmt/mov_5927_1-m.jpg,4971,فیلم
 معکوس,"[' بابک حمیدیان', ' علیرضا کمالی', ' لیلا زارع', ' شهرام حقیقت دوست', ' اکبر زنجانپور']",0.77,معکوس فیلمی در ژانر اجتماعی محصول سال 1396 است. این فیلم اولین اثر پولاد کیمیایی که نویسندگی آن را هم خودش انجام داده و به تهیه کنندگی پدرش، مسعود کیمیایی است. این فیلم درباره یک مسابقه اتومبیل رانی غیرقانونی است.,"['خانوادگی', 'اجتماعی']","[' مسعود کیمیایی', ' پولاد کیمیایی', ' پولاد کیمیایی', ' تورج منصوری']",https://static.cdn.asset.filimo.com/flmt/mov_29878_289-m.jpg,7859,فیلم
 خنده های آتوسا,"[' باران کوثری', ' محمدرضا فروتن', ' پژمان بازغی', ' بهار نوحیان', ' امیر جدیدی', ' اشکان مهری', ' حسام شجاعی', ' آزاده میرزایی', ' استوارت دنیسون']",0.67,فیلم خنده های آتوسا داستان مسافران یک قطار است که از تهران به سمت استانبول در حرکت است. هریک از مسافران دلایل خود را برای این سفر دارند و قصه خود را دنبال می کنند و....,"['خانوادگی', 'اجتماعی']","[' علیرضا فرید', ' امیر پورکیان', ' مرتضی غفوری', ' علیرضا فرید']",https://static.cdn.asset.filimo.com/flmt/mov_17670_20908-m.jpg,2985,فیلم
 مارموز,"[' حامد بهداد', ' ویشکا آسایش', ' آزاده صمدی', ' رضا ناجی', ' مانی حقیقی']",0.78,داستان فیلم مارموز در مورد شخصی به نام قدرت است که طی عملی خودسرانه به قهرمان شهر تبدیل می شود و ماجراهای جدیدی برای او به وجود می آید ..,"['کمدی', 'خانوادگی']","[' کمال تبریزی', ' جواد نوروزبیگی', ' آیدین سیارسریع', ' بمرانی', ' علی تبریزی']",https://static.cdn.asset.filimo.com/flmt/mov_23359_1-m.jpg,18682,فیلم
 پاتک,"[' حسین گیل', ' رضا صفایی پور', ' فتحعلی اویسی', ' مریلا زارعی']",0.9,,"['اکشن', 'جنگی']","[' علی اصغر شادروان', ' حسن توکل نیا', ' علی اصغر شادروان', ' سعید انصاری', ' علی الهیاری']",https://static.cdn.asset.filimo.com/flmt/mov_11381_315-m.jpg,2385,فیلم
 ما همه گناهکاریم,"[' امیر آقایی', ' الهام حمیدی', ' نیوشا ضیغمی', ' همایون ارشادی', ' مهدی سلوکی', ' امیرحسین مدرس', ' مهدی رجبی', ' بهرام ابراهیمی']",0.81,,"['خانوادگی', 'اجتماعی']","[' حسن ناظر', ' محسن مسافرچی', ' پیمان عباسی', ' محمدسعید شایان', ' امیر کریمی']",https://static.cdn.asset.filimo.com/flmt/mov_29149_20939-m.jpg,4014,فیلم
 بی قرار,"[' ابوالفضل پورعرب', ' مرجانه گلچین', ' رضا آشتیانی', ' جمشید مشایخی', ' نگین صدق گویا']",0.88,,"['خانوادگی', 'اجتماعی']","[' مجید قاری زاده', ' علی ترابی', ' روح الله خوشکام', ' داریوش بابائیان', ' عظیم جوانروح', ' بهروز خلجی', ' فریبا طایفه حسینی', ' آندره آرزومانیان']",https://static.cdn.asset.filimo.com/flmt/mov_4184_574-m.jpg,430,فیلم
 گاهی واقعی,"[' تیم رزان', ' میترا لهراسب', ' آهو خردمند', ' حدیث فولادوند', ' منیژه محامدی', ' مهتاج نجومی', ' ثریا حلی']",0.74,فیلم داستان انسانی را روایت می كند كه برای یافتن هویت اصلی اش به كشورش برمی گردد.,"['خانوادگی', 'اجتماعی']","[' رامین لباسچی', ' رامین لباسچی', ' داریوش بابائیان', ' فریبرز لاچینی', ' فرهاد صبا']",https://static.cdn.asset.filimo.com/flmt/mov_2517_895-m.jpg,168,فیلم
 نسکافه داغ داغ,"[' خسرو شکیبایی', ' یکتا ناصر', ' افسانه چهره آزاد', ' السا فیروز آذر']",0.88,زنی جوان به نام نیکا به گویندگی برنامه های عروسکی علاقه دارد، اما همسرش که یک کارخانه عروسک سازی را اداره می کند با او مخالف است. نیکا با کمک استاد خود دست به ترفندهایی می زند و ماجراهایی شیرین می آفریند....,"['خانوادگی', 'اجتماعی']","[' علی قوی تن', ' علی قوی تن', ' علی الهیاری', ' علی قوی تن', ' حمیدرضا صدری']",https://static.cdn.asset.filimo.com/flmt/mov_11979_604-m.jpg,839,فیلم
اعاده امنیت,"[' حسین گیل', ' جمشید مشایخی', ' بهزاد جوانبخش', ' حبیب اسماعیلی', ' ژانت آوانسیان', ' علی اصغر گرمسیری', ' رضا رخشانی', ' نرسی کرکیا', ' هوشنگ دیبائیان', ' پرویز بزرگی', ' حسین شهاب', ' منوچهر افسری', ' مهران آزادگان']",0.74,,"['اکشن', 'پلیسی معمایی']","[' حمید رخشانی', ' حمید رخشانی', ' ابراهیم غفوری', ' سعید انصاری']",https://static.cdn.asset.filimo.com/flmt/mov_srl_33558_810-m.jpg,152,سریال
 نقصد,[],0.6,"گناهان در قصه عدم اجابت دعاهایی چون دعای فرج حسابی نقش دارند.در این اثر، نمایشی از این نقش ها و در بند شدن دعا ها در نامقصدِ «نقصد» را خواهید دید.نمایش «نقصد» در نیمه شعبان سال 1397 به روی صحنه رفت.",['فیلم تئاتر'],[],https://static.cdn.asset.filimo.com/flmt/mov_119330_38593-m.jpg,4,فیلم
 بچه تابستان,"[' مهدی شیخوند', ' آرمان مرادی']",0.66,این نمایش، کاری از گروه تئاتر جیرجیرک به کارگردانی دریا نظری می باشد.در خلاصه داستان این نمایش آمده است : من توی پارکم، توی دستم هیچی نیست؛کی یک چاقو تو دست من گذاشت؟,"['فیلم تئاتر', 'خانوادگی']","[' دریا نظری', ' حسن حامد']",https://static.cdn.asset.filimo.com/flmt/mov_17045_1-m.jpg,149,فیلم
 آخرین نقش,"[' لاله اسکندری', ' سید مهرداد ضیایی', ' امیر آقایی', ' فرهاد قائمیان']",0.69,,"['خانوادگی', 'اجتماعی']","[' رضا ضیایی دوستان', ' رحمت الله محرابی', ' محمدرضا سکوت', ' آرش قادری']",https://static.cdn.asset.filimo.com/flmt/mov_5949_14597-m.jpg,259,فیلم
 پول خارجی,"[' علی نصیریان', ' محمدعلی کشاورز', ' مهتاج نجومی', ' رسول نجفیان', ' علی رامز', ' جهانگیر فروهر']",0.82,مرتضی الفت کارمند رده پایین یک اداره است، که وضع روحی و مالی خوبی ندارد ، موقعی که در اطراف بازار آزاد ارز برای تعمیر وسیله ای رفته است در رؤیا می بیند که صاحب پنجاه هزار دلار شده است...,"['خانوادگی', 'اجتماعی']","[' رخشان بنی اعتماد', ' فرید مصطفوی', ' حسن قلی زاده', ' محمدرضا علیقلی']",https://static.cdn.asset.filimo.com/flmt/mov_12738_430-m.jpg,469,فیلم
 هزار سال با تو,"[' رز رضوی', ' سام کرمی', ' سولماز حصاری', ' مجید مشیری', ' نیما شاهرخ شاهی', ' مهران رجبی', ' شهین تسلیمی']",0.56,,"['خانوادگی', 'عاشقانه']","[' احمد مقامی', ' مجتبی کریمی', ' حسین طبیب زاده', ' حسین طبیب زاده']",https://static.cdn.asset.filimo.com/flmt/mov_91836_987-m.jpg,4267,فیلم
 ترانه کوچک زندگی,"[' عنایت بخشی', ' مهدی امینی خواه', ' زهرا اویسی', ' لعیا میر نصیری', ' بهرام عربیان']",0.75,فیلم ترانه کوچک زندگی ، با محوریت مواد مخدر و متلاشی شدن بنیان خانواده در اثر اعتیاد می باشد...,"['خانوادگی', 'اجتماعی']","[' قادر قنبرزاده', ' سید محمد قاضی', ' محمود زینال زاده', ' امیر سلیمانی فاخر', ' افشین آذری']",https://static.cdn.asset.filimo.com/flmt/mov_19932_475-m.jpg,199,فیلم
 نابخشودنی,[],0.47,شیخ حسن محمدشحاته، عالم برجسته الازهر و واعظ شناخته شده اهل سنت در کشور مصر بود؛ که نور هدایت علوی، او را مدافع و مبلغ حریم ولایت کرد.,['فیلم تئاتر'],[],https://static.cdn.asset.filimo.com/flmt/mov_119324_38588-m.jpg,3,فیلم
گل پامچال,[],0.82,داستان این سریال درباره زندگی دختری است به نام لیلا که پس از بمباران شدید محل زندگی اش در جنوب کشور و کشته شدن تمامی اهالی آن به پیرمردی پناه می برد و از او برای یافتن خواهرش که در شمال کشور زندگی می کنند کمک می گیرد...,"['خانوادگی', 'اجتماعی']",[],https://static.cdn.asset.filimo.com/flmt/mov_srl_9737_576-m.jpg,1810,سریال
 دره شاپرک ها,"[' پرویز پورحسینی', ' اکرم محمدی', ' پیام آزادی', ' شاهد احمدلو', ' سعید شیخ زاده']",0.8,اخترشناس كهن سالی پس از تشخیص دادن تاریخ كسوف سه نوه اش رشید، جمشید و خورشید را به سرزمین عسلی می فرستد تا طلسم غول سنگی را كه آسایش اهالی را سلب كرده است، بشكنند. كوچك ترین برادر به نام خورشید شجاعانه با كوه غول سنگی به مبارزه بر می خیزد و به كمك دختر عمویش ترمه و كودكان پر نشاط سرزمین عسلی و راهنمایی های خردمندانه پدربزرگش نشاط و شادمانی را به سرزمین اجدادی خود باز می گرداند.,"['خانوادگی', 'اجتماعی']","[' فریال بهزاد', ' غلامرضا آزادی', ' فریال بهزاد', ' ناصر چشم آذر', ' غلامرضا آزادی', ' حسن حسندوست', ' غلامرضا جهانمهر']",https://static.cdn.asset.filimo.com/flmt/mov_1738_29986-m.jpg,103,فیلم
 سرگیجه,"[' محمد زرین دست', ' کامبیز دیرباز', ' الهام حمیدی', ' کوروش تهامی', ' مهدی سلوکی']",0.76,ساسان سرکش، یک ایرانی است که پس از سی سال دوری از وطن، به ایران می آید. در فرودگاه مهرآباد، راننده ای به نام الیاس، را به هتل می برد و فردای آن روز به اتفاق هم راهی زادگاه ساسان، تبریز، می شوند. در بین راه، الیاس پی می برد که ساسان با حالی پریشان قصد خودکشی دارد...,"['خانوادگی', 'اجتماعی']","[' محمد زرین دست', ' محمد زرین دست', ' اصغر رفیعی جم', ' مرتضی شایسته', ' محمدرضا جدیدی']",https://static.cdn.asset.filimo.com/flmt/mov_7223_11791-m.jpg,167,فیلم
 روی خط صفر,"[' رویا تیموریان', ' سلیمه رنگزن', ' مجید مظفری']",0.74,,"['خانوادگی', 'اجتماعی']","[' آرش قادری', ' آرش قادری', ' فردین خلعتبری', ' رحمت الله محرابی']",https://static.cdn.asset.filimo.com/flmt/mov_9871_19210-m.jpg,122,فیلم
 مادر مادر,"[' ثریا قاسمی', ' حدیث فولادوند', ' بهزاد رحیم خانی', ' فخرالدین صدیق شریف']",0.88,,"['خانوادگی', 'اجتماعی']","[' محسن ربیعی', ' کیان باباییان', ' فرهاد محمودی', ' شبیر جوانبخش شیرازی']",https://static.cdn.asset.filimo.com/flmt/mov_11981_263-m.jpg,436,فیلم
 مارمولک,"[' پرویز پرستویی', ' بهرام ابراهیمی', ' شاهرخ فروتنیان', ' رضا سعیدی', ' مهران رجبی', ' فریده سپاه منصور']",0.98,,"['کمدی', 'خانوادگی']","[' کمال تبریزی', ' منوچهر محمدی', ' پیمان قاسم خانی', ' محمدرضا علیقلی', ' حمید خضوعی ابیانه']",https://static.cdn.asset.filimo.com/flmt/mov_29286_14661-m.jpg,37845,فیلم
 شراره,"[' یوسف مرادیان', ' مریم کاویانی', ' مجید مشیری', ' ستاره حسینی', ' مهدی تارخ', ' نیما شاهرخ شاهی', ' محمود مقامی']",0.71,در فیلم شراره ، جوانی به نام کیوان بر اثر تصادفی درگیر داستان عشقی می شود و....,"['خانوادگی', 'اجتماعی']","[' محمود مقامی', ' کیانوش گرامی', ' مجید گل سفیدی', ' مهدی تارخ', ' سیدمهدی سجادپور']",https://static.cdn.asset.filimo.com/flmt/mov_19101_1-m.jpg,938,فیلم
 نفر دهم,"[' اکبر عبدی', ' میرطاهر مظلومی', ' نفیسه روشن', ' محمود بهرامی', ' هاشم روحانی', ' شمسی فضل الهی']",0.82,ناصر که دلال و واسطه خرید اعضاء بدن انسان می باشد ماموریت پیدا می کند تا برای پدر نادر که در بیمارستان بستری است یک قلب پیدا کند ، ناصر به طور اتفاقی با دختر یکی از بیمارانی که اهدا کننده است آشنا می شود ولی …,"['کمدی', 'خانوادگی']","[' محمدجواد کاسه ساز', ' جمال گلی', ' فرهاد خالقی', ' عباس مرادیان']",https://static.cdn.asset.filimo.com/flmt/mov_635_581-m.jpg,1395,فیلم
 آقای الف,"[' پوریا پورسرخ', ' لیلا اوتادی', ' نیما شاهرخ شاهی', ' مهران رجبی', ' خشایار راد', ' مهدی فقیه', ' مهدی مقدم']",0.78,امیر ادیب تاجر جوان ایرانی در حالی که قرار است در مزایده بزرگ بورس شرکت کند، با شخصی روبرو میشود که به او می گوید تا دو هفته دیگر خواهد مرد...,"['خانوادگی', 'کمدی']","[' علی عطشانی', ' امیرعلی محسنین', ' سعید شرفی کیا', ' محمد فضیله', ' بهنود یخچالی']",https://static.cdn.asset.filimo.com/flmt/mov_3703_21712-m.jpg,1439,فیلم
 شب سگی، معجزه صبح,"[' طناز طباطبایی', ' امیر آقایی', ' فرزین محدث', ' امیررضا وزیری', ' امیر غفارمنش']",0.75,,"['خانوادگی', 'کمدی']","[' کیومرث پوراحمد', ' داریوش بابائیان', ' اصغر عبدالهی', ' کیومرث پوراحمد', ' فرهاد محمودی', ' فردین خلعتبری']",https://static.cdn.asset.filimo.com/flmt/mov_34360_659-m.jpg,170,فیلم
 تارا و تب توت فرنگی,"[' کتایون ریاحی', ' لادن طباطبایی', ' لادن مستوفی', ' رامبد شکرآبی', ' پژمان بازغی']",0.79,تارا از خاطرات خود کتابی با نام تب توت فرنگی نوشته است. او به اصرار همسرش فرهاد به مناسبت انتشار اولین کتابش جشنی با حضور همه کسانی که در کتاب نامشان آمده است می گیرد.,"['خانوادگی', 'اجتماعی']","[' سعید سهیلی', ' ابراهیم اصغری', ' حسین ملکی', ' سعید سهیلی', ' ستار اورکی']",https://static.cdn.asset.filimo.com/flmt/mov_5912_1-m.jpg,290,فیلم
 رز زرد,"[' امین حیایی', ' بهرام رادان', ' حدیث فولادوند', ' مرجان محتشم']",0.85,,"['اکشن', 'هیجان انگیز']","[' داریوش فرهنگ', ' عبدالله علیخانی', ' رضا بانکی', ' علی خودسیانی', ' رضا بانکی', ' مهرداد جنابی']",https://static.cdn.asset.filimo.com/flmt/mov_3143_12345-m.jpg,1619,فیلم
 مریم و میتیل,"[' افسانه بایگان', ' حمید جبلی', ' حمیده خیرآبادی', ' شیوا خنیاگر', ' پرویز شفیع زاده', ' محمدعلی ورشوچی', ' کتایون اویسی']",0.93,مریم دختر شش ساله ای که خانواده اش را در جنگ از دست داده است، در پرورشگاه زندگی می کند. مریم به فرشته که بچه اش را از دست داده و در ساختمان روبه روی پرورشگاه مسکن دارد علاقه دارد اما نسرین و همسرش وی را به فرزندخواندگی قبول می کنند، مریم هم برای رسیدن فرشته از خانه آنها فرار می کند.,"['خانوادگی', 'کودک']","[' فتحعلی اویسی', ' مرتضی شایسته', ' اصغر رفیعی جم', ' فتحعلی اویسی', ' جعفر والی', ' محمدرضا علیقلی']",https://static.cdn.asset.filimo.com/flmt/mov_12929_576-m.jpg,1990,فیلم
